,Year,Day,Month,New_rate,Date
0,1694,1,Oct,6.0,1694-10-01
2,1695,1,Jan,4.5,1695-01-01
3,1695,1,May,3.0,1695-05-01
5,1699,1,June,4.5,1699-06-01
7,1716,1,July,4.0,1716-07-01
9,1719,1,Apr,5.0,1719-04-01
11,1822,1,June,4.0,1822-06-01
13,1825,1,Dec,5.0,1825-12-01
15,1827,1,July,4.0,1827-07-01
17,1836,1,July,4.5,1836-07-01
18,1836,1,Sep,5.0,1836-09-01
20,1838,1,Feb,4.0,1838-02-01
22,1839,1,May,5.0,1839-05-01
23,1839,1,Jun,5.5,1839-06-01
24,1839,1,Aug,6.0,1839-08-01
26,1840,1,Jan,5.0,1840-01-01
28,1842,1,Apr,4.0,1842-04-01
30,1844,7,Sep,2.5,1844-09-07
32,1845,16,Oct,3.0,1845-10-16
33,1845,6,Nov,3.5,1845-11-06
35,1846,27,Aug,3.0,1846-08-27
37,1847,14,Jan,3.5,1847-01-14
38,1847,21,Jan,4.0,1847-01-21
39,1847,8,Apr,5.0,1847-04-08
40,1847,5,Aug,5.5,1847-08-05
41,1847,30,Sept,6.0,1847-09-30
42,1847,25,Oct,8.0,1847-10-25
43,1847,22,Nov,7.0,1847-11-22
44,1847,2,Dec,6.0,1847-12-02
45,1847,23,Dec,5.0,1847-12-23
47,1848,27,Jan,4.0,1848-01-27
48,1848,15,June,3.5,1848-06-15
49,1848,2,Nov,3.0,1848-11-02
51,1849,22,Nov,2.5,1849-11-22
53,1850,26,Dec,3.0,1850-12-26
55,1852,1,Jan,2.5,1852-01-01
56,1852,22,Apr,2.0,1852-04-22
58,1853,6,Jan,2.5,1853-01-06
59,1853,20,Jan,3.0,1853-01-20
60,1853,2,June,3.5,1853-06-02
61,1853,1,Sep,4.0,1853-09-01
62,1853,15,Sep,4.5,1853-09-15
63,1853,29,Sep,5.0,1853-09-29
65,1854,11,May,5.5,1854-05-11
66,1854,3,Aug,5.0,1854-08-03
68,1855,5,Apr,4.5,1855-04-05
69,1855,3,May,4.0,1855-05-03
70,1855,14,June,3.5,1855-06-14
71,1855,6,Sep,4.0,1855-09-06
